Time,EmptySet,u,v,z
0,1,0,0,0
1,1,9.86924e-005,0.0149645,0.0148658076
2,1,0.00030252,0.0297688,0.02946628
3,1,0.000542638,0.0443478,0.043805162
4,1,0.000794405,0.0586798,0.057885395
5,1,0.00104942,0.072758,0.07170858
6,1,0.00130518,0.0865807,0.08527552	
7,1,0.00156134,0.100147,0.09858566	
8,1,0.00181833,0.113458,0.11163967	
9,1,0.00207685,0.12651,0.12443315
10,1,0.00233774,0.139303,0.13696526
